round,date,win_1_group,win_1_number,win_2_group,win_2_number,2nd_1_1_group,2nd_1_1_number,2nd_1_2_group,2nd_1_2_number,2nd_2_1_group,2nd_2_1_number,2nd_2_2_group,2nd_2_2_number,3rd,4th,5th,6th_1,6th_2,7th_1,7th_2
198,20150415,5,789061,6,315153,5,789060,5,789062,6,315152,6,315154,849019,26754,0057,08,80,3,5
199,20150422,2,785465,3,239868,2,785464,2,785466,3,239867,3,239869,522925,75197,0712,29,36,7,8
200,20150429,1,402195,1,851476,1,402194,1,402196,1,851475,1,851477,832066,32093,0040,04,31,4,6
201,20150506,3,168940,7,491193,3,168939,3,168941,7,491192,7,491194,482681,35993,0740,33,84,2,4
202,20150513,6,843733,7,174217,6,843732,6,843734,7,174216,7,174218,823034,26780,0117,45,51,1,6
203,20150520,2,581119,3,996982,2,581118,2,581120,3,996981,3,996983,443723,53676,0215,18,39,3,9
204,20150527,4,430004,5,967109,4,430003,4,430005,5,967108,5,967110,685060,15055,0128,08,11,2,8
205,20150603,4,556505,6,222055,4,556504,4,556506,6,222054,6,222056,365362,52024,0986,22,85,3,9
206,20150610,5,931992,6,747019,5,931991,5,931993,6,747018,6,747020,923538,30486,0124,50,52,2,8
207,20150617,1,155598,7,199917,1,155597,1,155599,7,199916,7,199918,981634,43028,0088,37,80,3,6
208,20150624,2,927515,3,444979,2,927514,2,927516,3,444978,3,444980,336343,68473,0250,32,50,0,8
209,20150701,4,929952,7,462455,4,929951,4,929953,7,462454,7,462456,659884,14861,0118,28,92,7,8
210,20150708,1,122595,7,166479,1,122594,1,122596,7,166478,7,166480,290018,58003,0098,84,90,2,3
211,20150715,1,158677,4,178124,1,158676,1,158678,4,178123,4,178125,432749,30064,0315,03,87,1,2
212,20150722,1,235237,5,187208,1,235236,1,235238,5,187207,5,187209,238834,88694,0340,35,55,6,9
213,20150729,3,263680,4,988383,3,263679,3,263681,4,988382,4,988384,132776,61229,0090,27,37,4,9
214,20150805,2,937172,7,261955,2,937171,2,937173,7,261954,7,261956,283050,98266,0604,54,76,5,6
215,20150812,3,553706,6,231023,3,553705,3,553707,6,231022,6,231024,728346,22552,0856,41,95,6,8
216,20150819,5,496926,7,667954,5,496925,5,496927,7,667953,7,667955,610884,39436,0639,32,33,0,9
217,20150826,1,440821,2,359646,1,440820,1,440822,2,359645,2,359647,581679,05219,0059,42,54,3,6
218,20150902,2,724172,6,522590,2,724171,2,724173,6,522589,6,522591,469006,17846,0798,05,63,8,9
219,20150909,3,386742,7,879866,3,386741,3,386743,7,879865,7,879867,246950,88735,0288,16,82,1,6
220,20150916,3,304989,5,302329,3,304988,3,304990,5,302328,5,302330,877311,94851,0056,16,40,3,7
221,20150923,1,650135,3,459544,1,650134,1,650136,3,459543,3,459545,548639,04594,0658,11,13,2,4
222,20150930,4,811415,7,430833,4,811414,4,811416,7,430832,7,430834,216716,21133,0349,01,33,3,6
223,20151007,1,927109,4,388923,1,927108,1,927110,4,388922,4,388924,503231,63273,0971,25,50,3,4
224,20151014,6,569574,7,835657,6,569573,6,569575,7,835656,7,835658,422617,49236,0087,05,37,3,7
225,20151021,4,599678,6,649470,4,599677,4,599679,6,649469,6,649471,521100,66165,0351,04,81,2,8
226,20151028,3,371768,7,139068,3,371767,3,371769,7,139067,7,139069,563699,93231,0975,33,80,2,3
227,20151104,1,648591,7,404402,1,648590,1,648592,7,404401,7,404403,953275,14585,0803,20,43,1,8
